"","form","lemma"
"1","liutans","liuts"
"2","unte","unte"
"3","frijond","frijon"
"4","in","in"
"5","gaqumşim","gaqumşs"
"6","jah","jah"
"7","waihstam","waihsta"
"8","plapjo","plapja"
"9","standandans","standan"
"10","bidjan","bidjan"
"11","ei","ei"
"12","gaumjaindau","gaumjan"
"13","mannam","manna"
"14","amen","amen"
"15","qişa","qişan"
"16","izwis","şu"
"17","şatei","şatei"
"18","haband","haban"
"19","mizdon","mizdo"
"20","seina","seins"
"21","iş","iş"
"22","şu","şu"
"23","şan","şan"
"24","bidjais","bidjan"
"25","gagg","gaggan"
"26","in","in"
"27","heşjon","heşjo"
"28","şeina","şeins"
"29","jah","jah"
"30","galukands","ga-lukan"
"31","haurdai","haurds"
"32","şeinai","şeins"
"33","bidei","bidjan"
"34","du","du"
"35","attin","atta"
"36","şeinamma","şeins"
"37","şamma","sa"
"38","in","in"
"39","fulhsnja","fulhsni"
"40","jah","jah"
"41","atta","atta"
"42","şeins","şeins"
"43","saei","saei"
"44","sai<U+0195>iş","sai<U+0195>an"
"45","in","in"
"46","fulhsnja","fulhsni"
"47","usgibiş","us-giban"
"48","şus","şu"
"49","in","in"
"50","bairhtein","bairhtei"
"51","ni","ni"
"52","filuwaurdjaiş","filu-waurdjan"
"53","swaswe","swaswe"
"54","şai","sa"
"55","şiudo","şiuda"
"56","şugkeiş","şugkjan"
"57","im","is"
"58","auk","auk"
"59","ei","ei"
"60","in","in"
"61","filuwaurdein","filuwaurdei"
"62","seinai","seins"
"63","andhausjaindau","and-hausjan"
"64","ni","ni"
"65","galeikoş","galeikon"
"66","galeikoş","galeikon"
"67","galeikoş","galeikon"
"68","nu","nu"
"69","şaim","sa"
"70","wait","witan"
"71","auk","auk"
"72","atta","atta"
"73","izwar","izwar"
"74","şizei","saei"
"75","şizei","saei"
"76","jus","şu"
"77","şaurbuş","şaurban"
"78","faurşizei","faurşizei"
"79","jus","şu"
"80","bidjaiş","bidjan"
"81","ina","is"
"82","swa","swa"
"83","nu","nu"
"84","bidjaiş","bidjan"
"85","jus","şu"
"86","atta","atta"
"87","unsar","unsar"
"88","şu","şu"
"89","in","in"
"90","himinam","himins"
"91","weihnai","weihnan"
"92","namo","namo"
"93","şein","şeins"
"94","qimai","qiman"
"95","şiudinassus","şiudinassus"
"96","şeins","şeins"
"97","wairşai","wairşan"
"98","wilja","wilja"
"99","şeins","şeins"
"100","swe","swe"
"101","in","in"
"102","himina","himins"
"103","jah","jah"
"104","ana","ana"
"105","airşai","airşa"
"106","hlaif","hlaifs"
"107","unsarana","unsar"
"108","şana","sa"
"109","sinteinan","sinteins"
"110","gif","giban"
"111","uns","ik"
"112","himma","hi-"
"113","daga","dags"
"114","jah","jah"
"115","aflet","af-letan"
"116","uns","ik"
"117","şatei","şatei"
"118","skulans","skula"
"119","sijaima","wisan"
"120","swaswe","swaswe"
"121","jah","jah"
"122","weis","ik"
"123","afletam","af-letan"
"124","şaim","sa"
"125","skulam","skula"
"126","unsaraim","unsar"
"127","jah","jah"
"128","ni","ni"
"129","briggais","briggan"
"130","uns","ik"
"131","uns","ik"
"132","in","in"
"133","fraistubnjai","fraistubni"
"134","ak","ak"
"135","lausei","lausjan"
"136","uns","ik"
"137","uns","ik"
"138","af","af"
"139","şamma","sa"
"140","ubilin","ubils"
"141","unte","unte"
"142","şeina","şu"
"143","ist","wisan"
"144","şiudangardi","şiudangardi"
"145","jah","jah"
"146","mahts","mahts"
"147","jah","jah"
"148","wulşus","wulşus"
"149","in","in"
"150","aiwins","aiws"
"151","amen","amen"
"152","unte","unte"
"153","jabai","jabai"
"154","afletiş","af-letan"
"155","mannam","manna"
"156","missadedins","missadeşs"
"157","ize","is"
"158","afletiş","af-letan"
"159","jah","jah"
"160","izwis","şu"
"161","atta","atta"
"162","izwar","izwar"
"163","sa","sa"
"164","ufar","ufar"
"165","himinam","himins"
"166","iş","iş"
"167","jabai","jabai"
"168","ni","ni"
"169","afletiş","af-letan"
"170","mannam","manna"
"171","missadedins","missadeşs"
"172","ize","is"
"173","ni","ni"
"174","şau","şau"
"175","atta","atta"
"176","izwar","izwar"
"177","afletiş","af-letan"
"178","missadedins","missadeşs"
"179","izwaros","izwar"
"180","aşşan","aşşan"
"181","bişe","bişe"
"182","fastaiş","fastan"
"183","fastaiş","fastan"
"184","fastaiş","fastan"
"185","ni","ni"
"186","wairşaiş","wairşan"
"187","swaswe","swaswe"
"188","şai","sa"
"189","liutans","liuts"
"190","gaurai","gaurs"
"191","frawardjand","fra-wardjan"
"192","auk","auk"
"193","andwairşja","andwairşi"
"194","seina","seins"
"195","ei","ei"
"196","gasai<U+0195>aindau","ga-sai<U+0195>an"
"197","mannam","manna"
"198","fastandans","fastan"
"199","amen","amen"
"200","qişa","qişan"
"201","izwis","şu"
"202","şatei","şatei"
"203","andnemun","and-niman"
"204","mizdon","mizdo"
"205","seina","seins"
"206","iş","iş"
"207","şu","şu"
"208","fastands","fastan"
"209","salbo","salbon"
"210","haubiş","haubiş"
"211","şein","şeins"
"212","jah","jah"
"213","ludja","ludja"
"214","şeina","şeins"
"215","şwah","şwahan"
"216","ei","ei"
"217","ni","ni"
"218","gasai<U+0195>aizau","ga-sai<U+0195>an"
"219","mannam","manna"
"220","fastands","fastan"
"221","ak","ak"
"222","attin","atta"
"223","şeinamma","şeins"
"224","şamma","sa"
"225","in","in"
"226","fulhsnja","fulhsni"
"227","jah","jah"
"228","atta","atta"
"229","şeins","şeins"
"230","saei","saei"
"231","sai<U+0195>iş","sai<U+0195>an"
"232","in","in"
"233","fulhsnja","fulhsni"
"234","usgibiş","us-giban"
"235","şus","şu"
"236","ni","ni"
"237","huzdjaiş","huzdjan"
"238","izwis","şu"
"239","huzda","huzd"
"240","ana","ana"
"241","airşai","airşa"
"242","şarei","şarei"
"243","malo","malo"
"244","jah","jah"
"245","nidwa","nidwa"
"246","frawardeiş","fra-wardjan"
"247","jah","jah"
"248","şarei","şarei"
"249","ak","ak"
"250","ana","ana"
"251","lukarnastaşin","lukarnastaşa"
"252","jah","jah"
"253","liuteiş","liuhtjan"
"254","allaim","alls"
"255","allaim","alls"
"256","allaim","alls"
"257","şaim","sa"
"258","şaim","sa"
"259","şaim","sa"
"260","in","in"
"261","şamma","sa"
"262","garda","gards"
"263","swa","swa"
"264","liuhtjai","liuhtjan"
"265","liuhaş","liuhaş"
"266","izwar","izwar"
"267","in","in"
"268","andwairşja","andwairşi"
"269","manne","manna"
"270","ei","ei"
"271","gasai<U+0195>aina","ga-sai<U+0195>an"
"272","izwara","izwar"
"273","goda","goşs"
"274","waurstwa","waurstw"
"275","jah","jah"
"276","hauhjaina","hauhjan"
"277","attan","atta"
"278","izwarana","izwar"
"279","şana","sa"
"280","in","in"
"281","himinam","himins"
"282","ni","ni"
"283","hugjaiş","hugjan"
"284","ei","ei"
"285","qemjau","qiman"
"286","gatairan","ga-tairan"
"287","witoş","witoş"
"288","aişşau","aişşau"
"289","praufetuns","praufetes"
"290","ni","ni"
"291","qam","qiman"
"292","gatairan","ga-tairan"
"293","ak","ak"
"294","usfulljan","us-fulljan"
"295","amen","amen"
"296","auk","auk"
"297","qişa","qişan"
"298","izwis","şu"
"299","und","und"
"300","şatei","saei"
"301","usleişiş","us-leişan"
"302","himins","himins"
"303","jah","jah"
"304","airşa","airşa"
"305","jota","jota"
"306","ains","ains"
"307","aişşau","aişşau"
"308","ains","ains"
"309","striks","striks"
"310","ni","ni"
"311","usleişiş","us-leişan"
"312","af","af"
"313","witoda","witoş"
"314","unte","unte"
"315","allata","alls"
"316","wairşiş","wairşan"
"317","iş","iş"
"318","saei","saei"
"319","nu","nu"
"320","gatairiş","ga-tairan"
"321","aina","ains"
"322","anabusne","anabusns"
"323","şizo","sa"
"324","minnistono","minnists"
"325","jah","jah"
"326","laisjai","laisjan"
"327","swa","swa"
"328","mans","manna"
"329","minnista","minnists"
"330","haitada","haitan"
"331","in","in"
"332","şiudangardjai","şiudangardi"
"333","himine","himins"
"334","iş","iş"
"335","saei","saei"
"336","taujiş","taujan"
"337","jah","jah"
"338","laisjai","laisjan"
"339","swa","swa"
"340","sah","sah"
"341","mikils","mikils"
"342","haitada","haitan"
"343","in","in"
"344","şiudangardjai","şiudangardi"
"345","himine","himins"
"346","qişa","qişan"
"347","auk","auk"
"348","izwis","şu"
"349","şatei","şatei"
"350","nibai","nibai"
"351","managizo","manags"
"352","wairşiş","wairşan"
"353","izwaraizos","izwar"
"354","garaihteins","garaihtei"
"355","şau","şau"
"356","şize","sa"
"357","bokarje","bokareis"
"358","jah","jah"
"359","Fareisaie","Fareisaius"
"360","ni","ni"
"361","şau","şau"
"362","qimiş","qiman"
"363","in","in"
"364","şiudangardjai","şiudangardi"
"365","himine","himins"
"366","hausideduş","hausjan"
"367","şatei","şatei"
"368","qişan","qişan"
"369","ist","wisan"
"370","şaim","sa"
"371","airizam","airizans"
"372","ni","ni"
"373","maurşrjais","maurşrjan"
"374","iş","iş"
"375","saei","saei"
"376","maurşreiş","maurşrjan"
"377","skula","skula"
"378","wairşiş","wairşan"
"379","stauai","staua"
"380","aşşan","aşşan"
"381","ik","ik"
"382","qişa","qişan"
"383","izwis","şu"
"384","şatei","şatei"
"385","<U+0195>azuh","<U+0195>azuh"
"386","modags","modags"
"387","broşr","broşar"
"388","seinamma","seins"
"389","sware","sware"
"390","skula","skula"
"391","wairşiş","wairşan"
"392","stauai","staua"
"393","iş","iş"
"394","saei","saei"
"395","qişiş","qişan"
"396","broşr","broşar"
"397","seinamma","seins"
"398","raka","raka"
"399","skula","skula"
"400","wairşiş","wairşan"
"401","gaqumşai","gaqumşs"
"402","aşşan","aşşan"
"403","saei","saei"
"404","qişiş","qişan"
"405","dwala","dwals"
"406","skula","skula"
"407","wairşiş","wairşan"
"408","in","in"
"409","gaiainnan","gaiainna"
"410","funins","fon"
"411","jabai","jabai"
"412","nu","nu"
"413","bairais","bairan"
"414","aibr","aibr"
"415","şein","şeins"
"416","du","du"
"417","hunslastada","hunslastaşs"
"418","jah","jah"
"419","jainar","jainar"
"420","gamuneis","ga-munan"
"421","şatei","şatei"
"422","broşar","broşar"
"423","şeins","şeins"
"424","habaiş","haban"
"425","<U+0195>a","<U+0195>as"
"426","bi","bi"
"427","şuk","şu"
"428","aflet","af-letan"
"429","jainar","jainar"
"430","şo","sa"
"431","giba","giba"
"432","şeina","şeins"
"433","in","in"
"434","andwairşja","andwairşi"
"435","hunslastadis","hunslastaşs"
"436","jah","jah"
"437","gagg","gaggan"
"438","faurşis","faurşis"
"439","gasibjon","ga-sibjon"
"440","broşr","broşar"
"441","şeinamma","şeins"
"442","jah","jah"
"443","bişe","bişe"
"444","atgaggands","at-gaggan"
"445","atbair","at-bairan"
"446","şo","sa"
"447","giba","giba"
"448","şeina","şeins"
"449","sijais","wisan"
"450","waila","waila"
"451","hugjands","hugjan"
"452","andastauin","andastaua"
"453","şeinamma","şeins"
"454","sprauto","sprauto"
"455","und","und"
"456","şatei","saei"
"457","is","wisan"
"458","in","in"
"459","wiga","wigs"
"460","miş","miş"
"461","imma","is"
"462","ibai","ibai"
"463","<U+0195>an","<U+0195>an"
"464","atgibai","at-giban"
"465","şuk","şu"
"466","sa","sa"
"467","andastaua","andastaua"
"468","stauin","staua"
"469","jah","jah"
"470","sa","sa"
"471","staua","staua"
"472","şuk","şu"
"473","atgibai","at-giban"
"474","andbahta","andbahts"
"475","jah","jah"
"476","in","in"
"477","karkara","karkara"
"478","galagjaza","ga-lagjan"
"479","amen","amen"
"480","qişa","qişan"
"481","şus","şu"
"482","ni","ni"
"483","usgaggis","us-gaggan"
"484","jainşro","jainşro"
"485","unte","unte"
"486","usgibis","us-giban"
"487","şana","sa"
"488","minnistan","minnists"
"489","kintu","kintus"
"490","hausideduş","hausjan"
"491","şatei","şatei"
"492","qişan","qişan"
"493","ist","wisan"
"494","ni","ni"
"495","şiubos","şiufs"
"496","ufgraband","uf-graban"
"497","jah","jah"
"498","hlifand","hlifan"
"499","iş","iş"
"500","huzdjaiş","huzdjan"
"501","izwis","şu"
"502","huzda","huzd"
"503","in","in"
"504","himina","himins"
"505","şarei","şarei"
"506","nih","nih"
"507","malo","malo"
"508","nih","nih"
"509","nidwa","nidwa"
"510","frawardeiş","fra-wardjan"
"511","jah","jah"
"512","şarei","şarei"
"513","şiubos","şiufs"
"514","ni","ni"
"515","ufgraband","uf-graban"
"516","nih","nih"
"517","stiland","stilan"
"518","şarei","şarei"
"519","auk","auk"
"520","ist","wisan"
"521","huzd","huzd"
"522","izwar","izwar"
"523","şaruh","şaruh"
"524","ist","wisan"
"525","jah","jah"
"526","hairto","hairto"
"527","izwar","izwar"
"528","lukarn","lukarn"
"529","leikis","leik"
"530","ist","wisan"
"531","augo","augo"
"532","jabai","jabai"
"533","nu","nu"
"534","augo","augo"
"535","şein","şeins"
"536","ainfalş","ainfalşs"
"537","ist","wisan"
"538","allata","alls"
"539","leik","leik"
"540","şein","şeins"
"541","liuhadein","liuhadeins"
"542","wairşiş","wairşan"
"543","iş","iş"
"544","jabai","jabai"
"545","augo","augo"
"546","şein","şeins"
"547","unsel","unsels"
"548","ist","wisan"
"549","allata","alls"
"550","leik","leik"
"551","şein","şeins"
"552","riqizein","riqizeins"
"553","wairşiş","wairşan"
"554","jabai","jabai"
"555","nu","nu"
"556","liuhaş","liuhaş"
"557","şata","sa"
"558","in","in"
"559","şus","şu"
"560","ist","wisan"
"561","şata","sa"
"562","<U+0195>an","<U+0195>an"
"563","filu","filu"
"564","ni","ni"
"565","manna","manna"
"566","mag","magan"
"567","twaim","twai"
"568","fraujam","frauja"
"569","skalkinon","skalkinon"
"570","unte","unte"
"571","jabai","jabai"
"572","fijaiş","fijan"
"573","ainana","ains"
"574","jah","jah"
"575","anşarana","anşar"
"576","frijoş","frijon"
"577","aişşau","aişşau"
"578","ainamma","ains"
"579","ufhauseiş","uf-hausjan"
"580","iş","iş"
"581","anşaramma","anşar"
"582","frakann","fra-kunnan"
"583","ni","ni"
"584","maguş","magan"
"585","guda","guş"
"586","skalkinon","skalkinon"
"587","jah","jah"
"588","mammonin","mammona"
"589","qişa","qişan"
"590","izwis","şu"
"591","ni","ni"
"592","maurnaiş","maurnan"
"593","saiwalai","saiwala"
"594","izwarai","izwar"
"595","<U+0195>a","<U+0195>as"
"596","matjaiş","matjan"
"597","jah","jah"
"598","<U+0195>a","<U+0195>as"
"599","drigkaiş","drigkan"
"600","nih","nih"
"601","leika","leik"
"602","izwaramma","izwar"
"603","<U+0195>e","<U+0195>e"
"604","wasjaiş","wasjan"
"605","niu","niu"
"606","saiwala","saiwala"
"607","mais","mais"
"608","ist","wisan"
"609","fodeinai","fodeins"
"610","jah","jah"
"611","leik","leik"
"612","wastjom","wasti"
"613","insai<U+0195>iş","in-sai<U+0195>an"
"614","du","du"
"615","fuglam","fugls"
"616","himinis","himins"
"617","şei","şei"
"618","ni","ni"
"619","saiand","saian"
"620","nih","nih"
"621","sneişand","sneişan"
"622","nih","nih"
"623","lisand","lisan"
"624","in","in"
"625","banstins","bansts"
"626","jah","jah"
"627","atta","atta"
"628","izwar","izwar"
"629","sa","sa"
"630","ufar","ufar"
"631","himinam","himins"
"632","fodeiş","fodjan"
"633","ins","is"
"634","niu","niu"
"635","jus","şu"
"636","mais","mais"
"637","wulşrizans","wulşriza"
"638","sijuş","wisan"
"639","şaim","sa"
"640","iş","iş"
"641","<U+0195>as","<U+0195>as"
"642","izwara","şu"
"643","maurnands","maurnan"
"644","mag","magan"
"645","anaaukan","ana-aukan"
"646","ana","ana"
"647","wahstu","wahstus"
"648","seinana","seins"
"649","aleina","aleina"
"650","aina","ains"
"651","jah","jah"
"652","bi","bi"
"653","wastjos","wasti"
"654","<U+0195>a","<U+0195>as"
"655","<U+0195>a","<U+0195>as"
"656","saurgaiş","saurgan"
"657","gakunnaiş","ga-kunnan"
"658","blomans","bloma"
"659","haişjos","haişi"
"660","<U+0195>aiwa","<U+0195>aiwa"
"661","wahsjand","wahsjan"
"662","nih","nih"
"663","arbaidjand","arbaidjan"
"664","nih","nih"
"665","spinnand","spinnan"
"666","şan","şan"
"667","izwis","şu"
"668","şatei","şatei"
"669","nih","nih"
"670","Saulaumon","Saulaumon"
"671","in","in"
"672","allamma","alls"
"673","wulşau","wulşus"
"674","seinamma","seins"
"675","gawasida","ga-wasjan"
"676","sik","sik"
"677","swe","swe"
"678","ains","ains"
"679","şize","sa"
"680","jah","jah"
"681","şande","şande"
"682","şata","sa"
"683","hawi","hawi"
"684","haişjos","haişi"
"685","himma","hi-"
"686","daga","dags"
"687","wisando","wisan"
"688","jah","jah"
"689","gistradagis","gistradagis"
"690","in","in"
"691","auhn","auhns"
