COGID,PGMC,WORD,LANGUAGE
1,frijaz,frēo,ang
1,frijaz,fre,enm
1,frijaz,fre,sco
1,frijaz,free,en
1,frijaz,firii,hif
1,frijaz,frī,ofs
1,frijaz,fräi,stq
1,frijaz,frij,fy
1,frijaz,frī,osx
1,frijaz,vrig,gml
1,frijaz,frigg,nds
1,frijaz,fríur,fo
1,frijaz,fri,no
1,frijaz,fri,sv
1,frijaz,fri,da
1,frijaz,*frī,odt
1,frijaz,vri,dum
1,frijaz,vrij,nl
1,frijaz,vry,af
1,frijaz,frī,goh
1,frijaz,vrī,gmh
1,frijaz,frei,de
1,frijaz,fräi,lb
1,frijaz,freis,got
2,hrōþiz,hrēþ,ang
2,hrōþiz,*hrōþ-,frk
2,hrōþiz,hruod-,goh
2,hrōþiz,hróðr,non
2,hrōþiz,*hroþs,got
3,gudą,god,ang
3,gudą,god,enm
3,gudą,God,sco
3,gudą,God,en
3,gudą,Gud,yol
3,gudą,god,ofs
3,gudą,God,stq
3,gudą,god,fy
3,gudą,god,osx
3,gudą,god,gml
3,gudą,Gott,pdt
3,gudą,Gott,pdt
3,gudą,got,odt
3,gudą,got,dum
3,gudą,god,nl
3,gudą,god,af
3,gudą,gód,li
3,gudą,got,goh
3,gudą,gudur,fo
3,gudą,gud,nb
3,gudą,gud,nn
3,gudą,gud,sv
3,gudą,gud,da
3,gudą,guð,ovd
3,gudą,gu,gmq-gut
3,gudą,guþ,got
3,gudą,page=136,vol=III
4,haglaz,hæġl,ang
4,haglaz,hail,enm
4,haglaz,hail,sco
4,haglaz,hail,en
4,haglaz,heil,ofs
4,haglaz,Hail,stq
4,haglaz,heil,fy
4,haglaz,hagal,osx
4,haglaz,hagel,gml
4,haglaz,Hagel,nds
4,haglaz,Hoagel,pdt
4,haglaz,hagal,goh
4,haglaz,hagel,gmh
4,haglaz,Hagel,de
4,haglaz,האָגל,yi
4,haglaz,hagl,non
4,haglaz,hagl,is
4,haglaz,heglingur,fo
4,haglaz,hagl,no
4,haglaz,haghl,gmq-osw
4,haglaz,hagel,sv
4,haglaz,haghæl,da
4,haglaz,havl,da
4,haglaz,hagel,gmq-gut
5,dagaz,dæġ,ang
5,dagaz,dei,ofs
5,dagaz,dag,osx
5,dagaz,dag,odt
5,dagaz,tag,goh
5,dagaz,dagr,non
5,dagaz,tag,gme-cgo
5,dagaz,dags,got
6,wulfaz,wulf,ang
6,wulfaz,wolf,ofs
6,wulfaz,Wulf,stq
6,wulfaz,wolf,fy
6,wulfaz,wulf,osx
6,wulfaz,wulf,gml
6,wulfaz,-,nds
6,wulfaz,-,nds-de
6,wulfaz,Wulf,nds-de
6,wulfaz,Wulf,nds
6,wulfaz,Wulf,nds
6,wulfaz,Wulf,nds
6,wulfaz,Wulf,pdt
6,wulfaz,wolf,dum
6,wulfaz,wolf,nl
6,wulfaz,wolf,af
6,wulfaz,wolf,goh
6,wulfaz,úlfr,non
6,wulfaz,wulfs,got
7,mann-,mann,ang
7,mann-,mon,ofs
7,mann-,maan,frr
7,mann-,Mon,stq
7,mann-,man,fy
7,mann-,man,osx
7,mann-,man,odt
7,mann-,man,goh
7,mann-,maðr,non
7,mann-,manna,got
8,gastiz,ġiest,ang
8,gastiz,jest,ofs
8,gastiz,gast,osx
8,gastiz,*gast,odt
8,gastiz,gast,dum
8,gastiz,gast,nl
8,gastiz,gas,af
8,gastiz,gast,goh
8,gastiz,ᚷᚨᛊᛏᛁᛉ,gmq-pro
8,gastiz,gasts,got
9,gumô,guma,ang
9,gumô,gome,enm
9,gumô,gome,sco
9,gumô,groom,en
9,gumô,goma,ofs
9,gumô,gomo,osx
9,gumô,*gomo,odt
9,gumô,gome,dum
9,gumô,bruidegom,nl
9,gumô,gomo,goh
9,gumô,gome,gmh
9,gumô,Bräutigam,de
9,gumô,gumi,non
9,gumô,gumi,is
9,gumô,gume,no
9,gumô,bruþgumi,gmq-osw
9,gumô,brudgum,sv
9,gumô,brudgom,da
9,gumô,guma,got
10,beraną,beran,ang
10,beraną,bera,ofs
10,beraną,barre,fy
10,beraną,beran,osx
10,beraną,baran,odt
10,beraną,baren,dum
10,beraną,baren,nl
10,beraną,baar,af
10,beraną,beran,goh
10,beraną,bera,non
10,beraną,*untberan,osx
10,beraną,untberen,gml
10,beraną,umbära,sv
10,beraną,*untberan,odt
10,beraną,ontberen,dum
10,beraną,ontberen,nl
10,beraną,entbehren,de
11,slēpaną,slǣpan,ang
11,slēpaną,slēpa,ofs
11,slēpaną,sliepe,frr
11,slēpaną,släipe,stq
11,slēpaną,sliepe,fy
11,slēpaną,slāpan,osx
11,slēpaną,*slāpan,odt
11,slēpaną,slâpen,dum
