COGID,PIE,WORD,LANGUAGE
6555,1311,3806,5187
1,wer-,*wōr-i-,ine-bsl-pro
1,wer-,vōreit,ltg
1,wer-,-,ine-bsl-pro
1,wer-,varùs,lt
1,wer-,*wirˀ-,ine-bsl-pro
1,wer-,vir̂t,lv
1,wer-,vìrti,lt
1,wer-,*branos,cel-pro
1,wer-,brân,cy
1,wer-,537,head=*vьrěti
2,wer-,*wr̥náwti,iir-pro
2,wer-,*wr̥náwti,inc-pro
2,wer-,*werēōr,itc-pro
2,wer-,vereor,la
2,wer-,garnir,fro
2,wer-,garnischen,enm
2,wer-,garnish,en
2,wer-,*guarnīre,la
2,wer-,guarnir,pt
2,wer-,guarnire,it
2,wer-,*wáras,iir-pro
2,wer-,*wáras,inc-pro
3,wer-,*wāwer,ine-bsl-pro
3,wer-,vāvere,lv
3,wer-,vėverìs,lt
3,wer-,weware,prg
3,wer-,vuoverie,sgs
3,wer-,*wiweros,cel-pro
3,wer-,*gwɨwer,cel-bry-pro
3,wer-,gwiñver,br
3,wer-,gwiwer,cy
3,wer-,íaru,sga
3,wer-,iora,ga
4,strew-,*strowō,itc-pro
4,strew-,struō,la
4,strew-,*strawą,gem-pro
4,strew-,*endo-struwo-,itc-pro
4,strew-,industrius,la
5,h₂ep-,āp,xto
5,h₂ep-,āp,txb
5,h₂ep-,t=river,ine-ana-pro
5,h₂ep-,*abnā,sqj-pro
5,h₂ep-,*abnis,itc-pro
5,h₂ep-,amnis,la
5,h₂ep-,abnis,xls
5,h₂ep-,𐌀𐌀𐌐𐌀,osc
5,h₂ep-,-,hyx-pro
5,h₂ep-,հաւառի,xcl
5,h₂ep-,ape,prg
5,h₂ep-,вапа,cu
6,h₂ékʷeh₂,*akʷā,itc-pro
7,sterh₃-,*str̥náHti,iir-pro
7,sterh₃-,*str̥náHti,inc-pro
7,sterh₃-,*str̥náHti,ira-pro
7,sterh₃-,𐬯𐬙𐬆𐬭𐬆𐬥𐬁𐬌𐬙𐬌,ae
7,sterh₃-,sternō,la
7,sterh₃-,στόρνῡμι,grc
7,sterh₃-,*str̥Hnáwti,iir-pro
7,sterh₃-,*str̥náwti,inc-pro
7,sterh₃-,στρατός,grc
7,sterh₃-,*str̥Htás,iir-pro
7,sterh₃-,*str̥tás,inc-pro
7,sterh₃-,*strātos,itc-pro
7,sterh₃-,strātus,la
7,sterh₃-,στρῶμα,grc
7,sterh₃-,strāmen,la
7,sterh₃-,στρωμνή,grc
7,sterh₃-,*prosterti,sla-pro
7,sterh₃-,простереть,ru
7,sterh₃-,прострѣти,cu
7,sterh₃-,простра,bg
7,sterh₃-,прострети,sh
7,sterh₃-,prostreti,sh
7,sterh₃-,prostreti,sl
7,sterh₃-,στέρνον,grc
7,sterh₃-,στόρνῡμι,grc
7,sterh₃-,līs,la
7,sterh₃-,stirps,la
7,sterh₃-,storea,la
7,sterh₃-,torus,la
8,steh₂-,page=567,head=sistō
8,steh₂-,head=shtãj,page=378
8,steh₂-,pages=489-490,"head=stō, stāre"
8,steh₂-,*stojěti,sla-pro
8,steh₂-,468,head=*stojati
8,steh₂-,*stātlā,cel-pro
8,steh₂-,seuzl,xbm
8,steh₂-,sul,kw
8,steh₂-,sodlau,wlm
8,steh₂-,sawdl,cy
8,steh₂-,sál,sga
8,steh₂-,*staðlom,itc-pro
8,steh₂-,stabulum,la
8,steh₂-,σταβαλανο,osc
8,steh₂-,𐌔𐌕𐌀𐌚𐌋𐌉,xum
8,steh₂-,stógas,lt
8,steh₂-,*stalas,ine-bsl-pro
8,steh₂-,stãlas,lt
8,steh₂-,stalis,prg
8,steh₂-,*stā-mo-,itc-pro
8,steh₂-,stahmietei,xum
8,steh₂-,stuomuõ,lt
8,steh₂-,stāmen,lv
8,steh₂-,stúomas,lt
8,steh₂-,στώμιξ,grc
8,steh₂-,σταθμός,grc
8,steh₂-,*stāˀnas,ine-bsl-pro
8,steh₂-,stónas,lt
8,steh₂-,*śtantśiā,sqj-pro
8,steh₂-,shtëzë,sq
8,steh₂-,*stāˀras,ine-bsl-pro
8,steh₂-,stóras,lt
8,steh₂-,head=shtat,page=260
8,steh₂-,*status,itc-pro
8,steh₂-,status,la
8,steh₂-,state,ims
8,steh₂-,𐌔𐌕𐌀𐌕𐌝𐌚,osc
8,steh₂-,𐌔𐌕𐌀𐌕𐌉𐌕𐌀𐌕𐌖,xum
8,steh₂-,postānimai,prg
8,steh₂-,στάδιον,grc
8,steh₂-,стын,os
8,steh₂-,*stōdą,gem-pro
8,steh₂-,*stāˀw-,ine-bsl-pro
8,steh₂-,stovė́ti,lt
8,steh₂-,*staura,gem-pro
8,steh₂-,stūr,gml
8,steh₂-,steyrur,fo
8,steh₂-,stūr,gmq-osw
8,steh₂-,stör,sv
8,steh₂-,*staurós,grk-pro
8,steh₂-,σταυρός,grc
8,steh₂-,*stauros,itc-pro
8,steh₂-,restaurō,la
8,steh₂-,Osthoff's law]],apparently with differing outcomes of [[w:Osthoff's law
8,steh₂-,στωϊᾱ́,grc
8,steh₂-,*stōwō,gem-pro
9,dʰeh₁-,*sweskō,itc-pro
9,dʰeh₁-,suescō,la
9,dʰeh₁-,*dḗˀla,ine-bsl-pro
9,dʰeh₁-,*tetʰmós,grk-pro
9,dʰeh₁-,τεθμός,grc
9,dʰeh₁-,*tʰetós,grk-pro
9,dʰeh₁-,θετός,grc
9,dʰeh₁-,*dʰHtás,iir-pro
9,dʰeh₁-,*dʰHtás,inc-pro
9,dʰeh₁-,*datáh,ira-pro
9,dʰeh₁-,𐬛𐬀𐬚𐬀,ae
9,dʰeh₁-,*-datos,itc-pro
9,dʰeh₁-,*uzdaz,gem-pro
9,dʰeh₁-,*hwétʰō,grk-pro
9,dʰeh₁-,ἔθω,grc
9,dʰeh₁-,*swádʰaH,iir-pro
9,dʰeh₁-,*swádʰaH,inc-pro
9,dʰeh₁-,*swoldēō,itc-pro
9,dʰeh₁-,soleō,la
9,dʰeh₁-,*tʰḗkē,grk-pro
9,dʰeh₁-,θήκη,grc
9,dʰeh₁-,pages=198-199,head=facio
9,dʰeh₁-,θεμέλιος,grc
9,dʰeh₁-,*famelos,itc-pro
9,dʰeh₁-,famulus,la
9,dʰeh₁-,𐌚𐌀𐌌𐌄𐌋,osc
9,dʰeh₁-,θής,grc
9,dʰeh₁-,*-dōts,itc-pro
9,dʰeh₁-,դնեմ,xcl
9,dʰeh₁-,θέμα,grc
9,dʰeh₁-,θέμις,grc
9,dʰeh₁-,Θησεύς,grc
10,h₁es-,ἔτυμος,grc
10,h₁es-,*h₁su-,ine-pro
10,h₁es-,,grk-pro
10,h₁es-,ἐσθλός,grc
11,h₂wes-,*HuHwā́sa,iir-pro
11,h₂wes-,*HuHwā́sa,inc-pro
11,h₂wes-,*iauhō,grk-pro
11,h₂wes-,ἰαύω,grc
11,h₂wes-,वस्ति,sa
